Generated Answer,Extracted Choice
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has osteoporosis with a T-score of -3.2 SDs in the hip. Among the options, Alendronate is a bisphosphonate commonly used to treat osteoporosis.
Answer: (A) Alendronate",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described, including the enamel erosion, bowed legs, and beading of the ribs, are characteristic of Vitamin C deficiency, which is a cofactor for prolyl and lysyl hydroxylase enzymes involved in collagen synthesis.
Answer: (A) Deficiency of cofactor for prolyl and lysyl hydroxylase",A
"Explanation: We refer to Wikipedia articles on medicine for help. Drug X blocks the androgen receptor, which is similar to the mechanism of action of Flutamide, a nonsteroidal antiandrogen used in the treatment of prostate cancer.
Answer: (C) Flutamide",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of right flank pain, abdominal tenderness, and ultrasound findings of dilation of the right ureter and renal pelvis are indicative of a kidney stone causing obstructive uropathy.
Answer: None of the options provided are the most likely underlying cause.",o
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of smoking, symptoms, and physical examination findings are suggestive of pulmonary fibrosis. Excess collagen deposition in the extracellular matrix of the lung is characteristic of pulmonary fibrosis.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The scenario describes a patient with burns over 45% of her body who later develops tarry black stools, which are indicative of gastrointestinal bleeding. The most likely underlying cause in this context is decreased gastric blood flow leading to ischemic injury and subsequent bleeding.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. In a patient with diarrhea and vomiting, there is a loss of fluid and electrolytes. Vasoactive intestinal peptide (VIP) is known to stimulate secretion of water and electrolytes in the intestines.
Answer: (D) Vasoactive intestinal peptide",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are suggestive of Restless Legs Syndrome (RLS). Pramipexole is a medication commonly used to treat RLS.
Answer: (B) Pramipexole",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is experiencing a missed abortion, which is a nonviable pregnancy. The most appropriate next step in management is Dilation and curettage (C) to remove the nonviable pregnancy tissue.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of shortness of breath when lying down, palpitations, difficulty in digestion, regurgitation, and dysphagia along with physical examination findings of jugular vein distention, pitting edema, basilar crackles, and S3 gallop suggest congestive heart failure. This is commonly seen in hypertensive changes.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms of wheezing and dyspnea along with eosinophilia and positive skin tests for allergens suggest allergic asthma. The most effective treatment for this patient would be a Beta-2 antagonist, which helps in bronchodilation and is commonly used in the treatment of asthma.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The description of heavy, red lungs with the histology shown in Image A suggests interstitial edema, which is consistent with the clinical presentation of respiratory distress and crackles on physical examination.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The presence of bright red blood in the stool, distended abdomen with shifting dullness, and purple spider web-like lesions suggest cirrhosis with esophageal varices. Esophageal varices drain into the superior rectal vein.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. Given the clinical presentation of a 3-day-old boy with seizures, systemic hypotension, bradycardia, hypoventilation, altered level of consciousness, hypotonia, bulging anterior fontanelle, and cyanosis, the best next step in management would be Cranial ultrasonography to evaluate for intracranial hemorrhage, which is common in premature infants.
Answer: (B) Cranial ultrason",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of sensorineural hearing loss are likely due to the drug's ototoxic effects. Among the options, the most common cause of ototoxicity is through the generation of free radicals.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. Given the patient's history of primary hyperparathyroidism and the need for surgery, the medication that should be given preoperatively to prevent a hypertensive emergency intraoperatively is Phenoxybenzamine, which is an alpha-blocker used to manage hypertension in patients with pheochromocytoma.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The sudden-onset right-sided body numbness and decreased sensation to light pinprick and temperature on the right side of the face and body suggest a lateral medulla infarction, also known as Wallenberg syndrome.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and laboratory findings are consistent with Vitamin B12 deficiency, which can lead to megaloblastic anemia, neurological symptoms, and psychiatric manifestations.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are consistent with conduction aphasia, which is typically caused by damage to the arcuate fasciculus. This structure connects Broca's area in the inferior frontal gyrus with Wernicke's area in the superior temporal gyrus.
Answer: (A) Arcuate fasciculus",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is in septic shock with persistent hypotension. The most appropriate treatment in this scenario is to continue treating the underlying illness, which is septic shock from bacteremia.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described, including back pain, difficulty walking upstairs, incontinence, bilateral lower limb weakness, and decreased sensation, are indicative of cauda equina syndrome. Among the options, this presentation is most consistent with spinal metastasis.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The description of the injury and the physical exam findings suggest a posterior cruciate ligament (PCL) injury. The PCL runs posteriorly from the medial femoral condyle.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described suggest Kallmann syndrome, which is characterized by anosmia (inability to smell) and hypogonadotropic hypogonadism (delayed puberty). Kallmann syndrome is caused by impaired migration of GnRH neurons.
Answer: (C) Impaired migration of GnRH neurons",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of smoking, occupational exposure, and pulmonary function test results are indicative of Chronic Obstructive Pulmonary Disease (COPD). The decreased FEV1/FVC ratio and FEV1 values, along with the increased lung volumes, support this diagnosis.
Answer: (D) Chronic obstructive pulmonary disease",D
"Explanation: We refer to Wikipedia articles on medicine for help. Ipratropium bromide is an anticholinergic medication that blocks the action of acetylcholine at muscarinic receptors in the bronchial smooth muscle, leading to bronchodilation. The phosphoinositol system is involved in the signaling pathway of muscarinic receptors.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with hypotension, tachycardia, hypoxia, and signs of tension pneumothorax (jugular venous distention, decreased breath sounds, hyperresonance) requires immediate intervention. Needle decompression is the initial management for tension pneumothorax to relieve the pressure and improve hemodynamics.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The risk factors for a post-term pregnancy include meconium aspiration syndrome due to fetal distress. Meconium aspiration can lead to respiratory distress in the newborn.
Answer: (C) Meconium aspiration",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, laboratory findings, and lack of suppression of cortisol levels with high-dose dexamethasone suggest Cushing's syndrome. The next step in management for confirming the etiology of Cushing's syndrome is Inferior petrosal sinus sampling.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Masturbation is a normal behavior in adolescents. The most appropriate next step in management is to reassure the mother and provide education on normal adolescent development.
Answer: (C) Reassure the mother",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described suggest a deficiency in tetrahydrobiopterin (BH4), which is essential for the synthesis of dopamine, norepinephrine, epinephrine, and serotonin. Supplementation of tetrahydrobiopterin is crucial in this case.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with syndrome of inappropriate antidiuretic hormone secretion (SIADH) due to the low serum sodium level. In SIADH, the serum osmolality is decreased, urine sodium is increased, and serum aldosterone is decreased.
Answer: (C) ↓ ↑ ↑",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and lab findings suggest pernicious anemia, which is caused by vitamin B12 deficiency. This deficiency leads to neurological symptoms like decreased position sense and vibratory sensation loss. The most likely cause is anti-intrinsic factor antibodies, which are seen in pernicious anemia.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are consistent with primary dysmenorrhea, which is best managed initially with NSAIDs for pain relief.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described in the scenario are consistent with opioid withdrawal. Clonidine is commonly used to manage symptoms of opioid withdrawal, including diarrhea, malaise, and autonomic symptoms.
Answer: (A) Clonidine",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described in the patient are consistent with neonatal tetanus, which is caused by the neurotoxin produced by Clostridium tetani. This neurotoxin inhibits the release of inhibitory neurotransmitters, such as glycine and GABA, leading to unopposed muscle contraction and spasms.
Answer: (C) Decreased release of glycine",C
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, Chloroquine is the most suitable drug for pre-exposure prophylaxis against malaria in pregnancy.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with blue-grayish discoloration of the sclerae, joint hypermobility, decreased tone, and an incomplete fracture of the right tibial diaphysis suggests a diagnosis of Osteogenesis Imperfecta (OI), which is characterized by insufficient production of procollagen type 1.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are consistent with Trichomonas vaginalis infection, which presents with a yellow-green, malodorous discharge. The motile organisms seen on wet mount are characteristic of Trichomonas vaginalis.
Answer: (C) Trichomonas vaginalis",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including pruritic lesions, iron deficiency, lactose intolerance, and elevated IgA tissue transglutaminase titer, are indicative of Celiac disease, which is an immune reaction to eating gluten.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. Gram-positive anaerobic rods are most likely Clostridium difficile, which causes antibiotic-associated diarrhea. The most effective agent for preventing transmission of C. difficile is a chlorine-based solution.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is in active labor and has lost a lot of blood, indicating a high-risk situation. In such cases, the patient should be stabilized and transferred to a more capable center. The most appropriate next step in management is to transfer the patient only if the medical benefits of transfer outweigh the risks.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with blood in the urine and cystoscopy findings suggest hemorrhagic cystitis, a known complication of ifosfamide therapy. Mesna is a drug used to prevent ifosfamide-induced hemorrhagic cystitis.
Answer: (B) Mesna",B
"Explanation: We refer to Wikipedia articles on medicine for help. Ketamine is known to reduce the risk of developing postoperative hyperalgesia in chronic opioid abusers.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and examination findings are suggestive of osteoarthritis. The most likely finding on imaging of the left knee in osteoarthritis would be osteophytes with joint-space narrowing on x-ray.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, CD4 count, and blood culture results suggest disseminated Mycobacterium avium complex (MAC) infection. The most appropriate pharmacotherapy for this condition is Azithromycin and ethambutol.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient presents with symptoms of pneumonia and sepsis. The endotracheal aspirate Gram stain showing gram-negative rods suggests Pseudomonas aeruginosa, which is commonly seen in patients with chronic lung disease. The most appropriate pharmacotherapy for Pseudomonas aeruginosa pneumonia is a combination of an antipseudomonal beta-lactam (such as cefepime) and an antipseudomonal",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with gynecomastia, testicular mass, and history of testicular trauma suggests a Leydig cell tumor. Klinefelter syndrome would present with other features like tall stature, small testes, and infertility.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and the recent thyroidectomy suggest hypocalcemia, which can lead to QT prolongation on ECG.
Answer: (B) QT prolongation",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of sudden onset of severe pain and redness in the eyes, along with lower back pain, heel pain, and difficulty seeing properly, are suggestive of acute anterior uveitis, which is commonly associated with ankylosing spondylitis. The increased ESR and CRP levels further support this diagnosis.
Answer: (B) Malabsorption",B
"Explanation: We refer to Wikipedia articles on medicine for help. The lowest oxygen content is found in the pulmonary artery, as it carries deoxygenated blood from the right ventricle of the heart to the lungs for oxygenation.
Answer: (C) Pulmonary artery",C
"Explanation: We refer to Wikipedia articles on medicine for help. The most appropriate initial response by the physician should express empathy and acknowledge the patient's loss and emotional distress. Option (A) is the most empathetic and supportive response.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The presentation of a foot ulcer with purulent drainage and a slightly fruity smell, along with a history of puncture wound, suggests an infection with Pseudomonas aeruginosa, which is a Gram-negative bacilli.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including an enlarged, hard, tender, and asymmetric thyroid with pain on swallowing, along with hypothyroidism (high TSH, low T4), suggest subacute granulomatous thyroiditis, also known as De Quervain thyroiditis. This condition can present with painful thyroid enlargement and transient hyperthyroidism followed by hypothyroidism.
Answer: (D) Silent thyroiditis",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including fatigue, headache, abdominal pain, and conjunctival pallor, along with the peripheral blood smear findings of red blood cells with increased zones of central pallor and anisocytosis, are indicative of iron deficiency anemia.
Answer: (D) Iron deficiency",D
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, Rotavirus is known for its segmented genome and reassortment capability, which allows it to create new strains through genetic exchange.
Answer: (C) Rotavirus",C
"Explanation: We refer to Wikipedia articles on medicine for help. The clinical presentation and laboratory findings are consistent with nephrotic syndrome. In children, the most common cause of nephrotic syndrome is minimal change disease, which typically shows normal light microscopy findings.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are suggestive of ureteral injury, which can occur during ligation of the uterine artery due to its close proximity to the ureter.
Answer: (D) Uterine artery",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is likely suffering from an opioid overdose, given the presentation and the presence of miosis. Naloxone is a μ receptor antagonist and is used to reverse opioid overdose.
Answer: (A) μ, κ, and δ receptor antagonist",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history and normal physical examination suggest primary nocturnal enuresis. The first-line treatment for primary nocturnal enuresis is reassurance and the use of an enuresis alarm.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The description of white pseudomembranes that can be wiped away to reveal erythematous mucosa in the mouth is characteristic of oral thrush, which is caused by Candida albicans. The most appropriate medication for this patient would be one that disrupts cell membrane permeability, which is the mechanism of action of medications used to treat fungal infections like oral thrush.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The cell indicated by the arrow is an eosinophil, which is typically associated with the action of leukotriene D4.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms of poor feeding, increased tone, clenched jaw, and clenched hands are consistent with infant botulism caused by Clostridium botulinum.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are characteristic of Creutzfeldt-Jakob disease (CJD), a prion disease. The conversion of a protein from an alpha-helix to a beta-pleated form, which resists degradation, is a key feature of prion diseases.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The presentation of a tender swelling at the proximal tibia with fragmentation of the tibial tuberosity is consistent with Osgood-Schlatter disease, which is an overuse injury common in active adolescents. The most appropriate next step in management is conservative treatment, which includes rest, ice, and activity modification. Therefore, the most appropriate next step is not listed among the options provided.
Answer: The most appropriate next step is",h
"Explanation: We refer to Wikipedia articles on medicine for help. The medication with mucoactive and anti-oxidative properties that helps in lung conditions is likely to reduce airway surface tension, making it easier for the patient to breathe.
Answer: (D) Reduction in airway surface tension",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of constipation and fatigue suggest hypokalemia, which can be caused by thiazide diuretics used to manage hypertension. Thiazide diuretics act on the Na+/Cl- cotransporter in the distal convoluted tubule.
Answer: (C) Na+/Cl- cotransporter in the membranes of epithelial cells in the distal convoluted tubule",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and MRI findings suggest multiple sclerosis. In multiple sclerosis, oligoclonal IgG bands on electrophoresis are commonly found in the cerebrospinal fluid.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of solid food getting stuck behind the sternum, along with a history of asthma and eczema, suggest Eosinophilic esophagitis, which is commonly associated with allergic conditions.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The drug that decreases the production of mevalonate is a statin. Statins can lead to an increase in creatine kinase concentration as a potential adverse effect.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of ulcerative colitis and positive pANCA test suggest primary sclerosing cholangitis (PSC). The characteristic findings on liver biopsy in PSC include periductal concentric scarring and fibrosis.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are indicative of optic neuritis, which is commonly associated with multiple sclerosis. Therefore, specific additional history should be obtained regarding sensory loss, as this can be a symptom of multiple sclerosis.
Answer: (D) Sensory loss",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with fatigue, splenomegaly, and pancytopenia suggests a diagnosis of myelodysplastic syndrome (MDS). In MDS, the bone marrow is often hypocellular and difficult to aspirate, leading to a dry tap. A peripheral blood smear in MDS may show ringed sideroblasts, which are cells that stain with Prussian Blue due to iron accumulation in the",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are consistent with an anterior cord lesion, which typically presents with motor weakness and loss of pain and temperature sensation below the level of the lesion.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, only IFN-gamma is secreted by Th1 cells and is responsible for stimulating phagosome-lysosome fusion within macrophages, activating macrophages to produce mediators like NO, and leading to the formation of a tubercle during Mycobacterium tuberculosis infection.
Answer: (C) IFN-gamma",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of acute diverticulitis, reduced urine output, and elevated serum creatinine suggest acute kidney injury (AKI). Among the options, dehydration is the most likely cause of AKI in this scenario, given the patient's history of reduced urine output and the fact that he was placed on bowel rest.
Answer: (C) Dehydration",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and the appearance of the oral mucosa suggest oral thrush, which is a fungal infection. The most appropriate next step in management would be to treat with an antifungal medication such as Nystatin.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with a history of smoking, family history of pulmonary embolism, and positive fibrin split products suggests a diagnosis of deep vein thrombosis (DVT). Among the options, Factor V Leiden is the most common inherited risk factor for DVT.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The presence of a polyp with 75% tubular architecture indicates an adenomatous polyp, which is a precursor to colorectal cancer.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The intermittent stabbing face pain, bilateral involvement, and decreased sensation in the V2 and V3 distribution suggest trigeminal neuralgia. The weakness in the right arm and spasticity of the lower extremities with sustained clonus indicate central nervous system involvement. Multiple periventricular sclerotic plaques are characteristic of multiple sclerosis.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has a history of hepatitis C, acute pancreatitis, and now presents with fever, abdominal pain, confusion, scleral icterus, spider angiomas, and ascites. These findings are consistent with cirrhosis. The ascitic fluid analysis with a low albumin concentration and high leukocyte count with neutrophils suggests spontaneous bacterial peritonitis due to bacterial translocation.
Answer: (C) Bacterial translocation",C
"Explanation: We refer to Wikipedia articles on medicine for help. Combined oral contraceptive pills are known to decrease the risk of ovarian cancer. They are not associated with an increased risk of breast cancer and may slightly increase the risk of cervical cancer.
Answer: (B) Ovarian cancer",B
"Explanation: We refer to Wikipedia articles on medicine for help. In congenital hypothyroidism, hypotonia, umbilical hernia, and macroglossia are common signs and symptoms. Diarrhea is not typically associated with congenital hypothyroidism.
Answer: (B) Diarrhea",B
"Explanation: We refer to Wikipedia articles on medicine for help. Maraviroc is a CCR5 antagonist, which blocks the CCR5 receptor on CD4 T cells. This prevents the entry of HIV into the cells.
Answer: (A) gp120",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and signs described are consistent with infectious mononucleosis, commonly caused by the Epstein-Barr virus. The best management for this condition is bed rest and activity limitation to prevent splenic rupture due to splenomegaly.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The episodic pelvic pain before menstrual periods suggests dysmenorrhea, which is commonly caused by endometrial sloughing and uterine contractions mediated by prostaglandins.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of diabetes, hypertension, and previous strokes suggests vascular dementia, which is characterized by cognitive decline due to cerebrovascular disease.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of smoking, symptoms of shortness of breath, cough, and wheezing, along with the spirometry findings of decreased FEV1:FVC ratio and FEV1, suggest Chronic Obstructive Pulmonary Disease (COPD). The decreased DLCO is also consistent with COPD.
Answer: (C) Chronic obstructive pulmonary disease",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is presenting with urinary retention, which requires immediate bladder decompression. Bladder catheterization is the appropriate next step to relieve the distended bladder.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including fever, greenish-yellow sputum, and difficulty breathing, suggest a COPD exacerbation with an infectious component. Antibiotics are indicated in COPD exacerbations with increased sputum purulence and worsening symptoms. Among the options, Doxycycline or Ciprofloxacin are commonly used antibiotics for COPD exacerbations.
Answer: (A) Doxycycline",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with a stroke, likely due to sickle cell disease. Alteplase is contraindicated in patients with sickle cell disease as it can worsen their condition. Exchange transfusion is the mainstay of treatment for sickle cell disease-related strokes to reduce sickle hemoglobin levels and improve oxygen delivery to tissues.
Answer: (B) Exchange transfusion",B
"Explanation: We refer to Wikipedia articles on medicine for help. The early onset of puberty in girls is associated with a risk of short stature as an adult due to premature closure of growth plates.
Answer: (B) Short stature",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has a history of peripheral arterial disease and a bruit on auscultation of the neck, suggesting carotid artery disease. Ultrasonography of the neck is the most appropriate next step to evaluate the carotid arteries.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described, including fever, itching, vesicles, and crusted lesions, are characteristic of Chickenpox (Varicella). Measles typically presents with a high fever, cough, and conjunctivitis. Urushiol-induced dermatitis is caused by contact with poison ivy, oak, or sumac. Rubella presents with a rash that starts on the face and spreads downward.
Answer: (C) Chicken",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of retrosternal dullness, shortness of breath, and palpitations that occur with exertion suggest angina pectoris. Since the ECG is normal at rest, the most appropriate next step in diagnosis would be a myocardial perfusion scan under pharmacological stress to evaluate for inducible ischemia.
Answer: (A) Myocardial perfusion scan under pharmacological stress",A
"Explanation: We refer to Wikipedia articles on medicine for help. Gram-negative cocci in pairs suggest Neisseria meningitidis, which is known for its lipooligosaccharides (LOS) as a major virulence factor.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with antifreeze ingestion suggests ethylene glycol poisoning. In ethylene glycol poisoning, calcium oxalate crystals are typically seen in the urine.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with altered mental status, hypothermia, bradycardia, hyponatremia, and low TSH and thyroid hormone levels is consistent with myxedema coma, which is a severe form of hypothyroidism.
Answer: (A) Myxedema coma",A
"Explanation: We refer to Wikipedia articles on medicine for help. With aging, lung compliance decreases, so the most likely change in respiratory function in this patient would be decreased lung compliance.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including right upper abdominal pain, nausea, and laboratory findings of leukocytosis and elevated liver enzymes, are suggestive of acute cholecystitis, which is commonly caused by obstruction of the cystic duct.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The description of a swollen and reddened toe in a crying infant suggests Hair tourniquet syndrome, where a hair or thread wraps around a toe or finger causing pain and swelling.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and the CT scan findings suggest a cerebrovascular accident (CVA) or stroke. The presence of a Babinski sign indicates upper motor neuron lesion, which is consistent with a stroke. Therefore, the most appropriate next step in management would be Warfarin therapy to prevent further thrombotic events.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The sudden onset of symptoms after rupture of membranes and combined spinal-epidural anesthesia, along with the presence of bright red blood in the cervical canal, suggests an amniotic fluid embolism (AFE). This is a rare but serious condition where amniotic fluid enters the maternal circulation, leading to a cascade of events resulting in cardiovascular collapse and respiratory distress.
Answer: (B) Amniotic fluid entering the endocerv",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with an absolute lymphocyte count of 50,000/mm3 suggests Chronic Lymphocytic Leukemia (CLL). The other options are less likely based on the provided information.
Answer: (A) Chronic lymphocytic leukemia (CLL)",A
"Explanation: We refer to Wikipedia articles on medicine for help. Invasive ductal carcinoma is commonly associated with overexpression of HER2 gene.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and findings suggest an underlying congenital heart defect, likely an atrial septal defect (ASD) given the fixed splitting of S2. During pregnancy, the increase in blood volume can exacerbate the right-to-left shunting through the ASD, leading to increased cyanosis, dyspnea, and symptoms of heart failure. 
Answer: (D) Increase in blood volume",D
"Explanation: The number needed to treat (NNT) is calculated as the reciprocal of the absolute risk reduction. Absolute risk reduction is calculated by subtracting the risk in the treatment group from the risk in the control group. 

Risk in the treatment group = 190/250 = 0.76
Risk in the control group = 165/250 = 0.66

Absolute risk reduction = 0.76 - 0.66 = 0.1

NNT = ",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described suggest allergic conjunctivitis, which is commonly treated with antihistamine eye drops. Ketotifen is an antihistamine and mast cell stabilizer that can help relieve the symptoms described.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is presenting with cardiogenic shock due to a myocardial infarction. To improve hemodynamic status, a medication that primarily stimulates Beta-1 adrenergic receptors would be most appropriate as it increases heart rate and contractility.
Answer: (B) Beta-1 adrenergic receptor",B
"Explanation: We refer to Wikipedia articles on medicine for help. In a low-risk patient, the most reasonable first step to rule out pulmonary embolism is to perform a D-dimer test. If the D-dimer is negative, it can help exclude the diagnosis without the need for further imaging studies.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are consistent with peripheral neuropathy, which is commonly seen with isoniazid (an antimycobacterial drug) use. Isoniazid can lead to vitamin B6 deficiency, causing peripheral neuropathy.
Answer: (C) Segmental demyelination of peripheral axons",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with subcutaneous emphysema, recurrent pneumothorax despite chest tube placement, and a history of trauma suggest a tension pneumothorax.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are consistent with a phototoxic reaction, which is caused by cell injury due to drug metabolites. Demeclocycline is known to cause photosensitivity reactions.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The only immunoglobulin found as a dimer is IgA, and its primary function is inhibiting bacterial adherence and colonization of mucous membranes.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's improved vision and the presence of microaneurysms suggest that the most likely explanation is liquefaction of the vitreous body, which can lead to improved vision.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are consistent with gastroesophageal reflux (GER). The best next step in management would be reassurance and counseling on positioning, as this can often help alleviate symptoms in infants with GER.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The primary measure used in this study is the Standardized Mortality Ratio (SMR), which is calculated by dividing the observed number of deaths by the expected number of deaths.
Answer: (C) The observed number of deaths divided by the expected number of deaths",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has signs and symptoms suggestive of deep vein thrombosis (DVT) after surgery. The most appropriate next step in management is Compression ultrasonography to confirm the diagnosis of DVT.
Answer: (B)",B
